iter	Passed	Remaining
0	1	174
1	3	159
2	4	152
3	5	140
4	7	139
5	8	137
6	10	134
7	11	133
8	12	131
9	14	129
10	15	127
11	17	125
12	18	122
13	19	119
14	20	115
15	21	111
16	22	109
17	23	106
18	24	103
19	25	101
20	26	98
21	27	96
22	28	93
23	28	91
24	29	88
25	30	86
26	31	84
27	31	82
28	32	80
29	33	78
30	34	76
31	34	74
32	35	72
33	36	70
34	36	68
35	37	66
36	38	65
37	38	63
38	39	61
39	40	60
40	40	58
41	41	56
42	41	55
43	42	54
44	43	52
45	43	51
46	44	49
47	44	48
48	45	47
49	46	46
50	46	44
51	47	43
52	48	42
53	48	41
54	48	40
55	49	39
56	50	37
57	51	36
58	51	35
59	52	34
60	53	33
61	53	33
62	54	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
